,,,,,,,
,matiere,langue enseignement,liste études (codes),liste des n°s sciper enseignants,liste des enseignants,liste orientations/sections sans doublons,liste URL fiche sans doublons
,Advanced project in analytical chemistry,fr,AUDIT-E,148581,Marendaz Jean-Luc,UNIL_SFU,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=144687298&ww_x_anneeacad=123455150&ww_i_section=116995070&ww_i_niveau=2936295&ww_c_langue=en
,Advanced scientific computing,en,MA-MA3# MA-MA1#MA-MA1# MA-MA3,106096,Picasso Marco,ING_MATH#MATH#MA_CO,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=354953960&ww_x_anneeacad=123455150&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en
,Advanced semiconductor nanomaterials,en,MX-MA2,182447,Fontcuberta i Morral Anna,MX,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=352060199&ww_x_anneeacad=123455150&ww_i_section=944917&ww_i_niveau=6683147&ww_c_langue=en
,Advanced signal processing,en,EL-MA1# EL-MA3,120906,Vandergheynst Pierre,EL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=24333829&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en
,Advanced solid waste treatment,en,EME-MA1#MINEUR-H#SIE-MA1# SIE-MA3,169977,Ludwig Christian,EME_MES#MIN_ENER#SIE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47572475&ww_x_anneeacad=123455150&ww_i_section=637841336&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47572475&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936286&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47572475&ww_x_anneeacad=123455150&ww_i_section=942953&ww_i_niveau=6683147&ww_c_langue=en
,Advanced theoretical computer science,en,IN-BA4#SC-BA4,172233,Moret Bernard,IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71644676&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71644676&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683117&ww_c_langue=en
,Advanced Topics in Nuclear Reactor Materials,en,PH-MA3,104444#105207#186482#188236,Baluc Nadine#Gavillet Didier#Zimmermann Martin Alfred#Hoffelner Wolfgang,PH_NE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=161868049&ww_x_anneeacad=123455150&ww_i_section=945571&ww_i_niveau=6683147&ww_c_langue=en
,Advanced topics in programming,fr,IN-BA3#SC-BA3,126003,Odersky Martin,IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71644584&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71644584&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683117&ww_c_langue=en
,Advanced transport phenomena,en,CGC-MA2#GM-MA2#MINEUR-E#SV-BA6,160091,Swartz Melody,CGC_ING#GM#MIN_BIOTECH#SV,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=48029637&ww_x_anneeacad=123455150&ww_i_section=246696&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=48029637&ww_x_anneeacad=123455150&ww_i_section=944263&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=48029637&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936295&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=48029637&ww_x_anneeacad=123455150&ww_i_section=945901&ww_i_niveau=6683117&ww_c_langue=en
,Aerodynamics,fr,GM-MA1# GM-MA3,123870,Farhat Mohamed,GM,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1772075&ww_x_anneeacad=123455150&ww_i_section=944263&ww_i_niveau=6683147&ww_c_langue=en
