,,,,,,,
,matiere,langue enseignement,liste études (codes),liste des n°s sciper enseignants,liste des enseignants,liste orientations/sections sans doublons,liste URL fiche sans doublons
,Introduction to electronic structure methods,en,CGC-BA5#IN-MA3# IN-MA1#MA-MA1# MA-MA3#MINEUR-H#SC-MA1# SC-MA3,150117#153498,Röthlisberger Ursula#Tavernelli Ivano,CGC#IN#MA_CO#MIN_BIOCOMP#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=230666083&ww_x_anneeacad=123455150&ww_i_section=246696&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=230666083&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=230666083&ww_x_anneeacad=123455150&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=230666083&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936286&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=230666083&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en
,Introduction to entrepreneurship,en,SHS-BA6,171551,Gruber Marc,SHS,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=405245168&ww_x_anneeacad=123455150&ww_i_section=1751774&ww_i_niveau=6683117&ww_c_langue=en
,Introduction to environmental engineering,en,SIE-BA1,121849#169209#169370,Holliger Christof#Barry David Andrew#Arey Jeremy Samuel,SIE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71544480&ww_x_anneeacad=123455150&ww_i_section=942953&ww_i_niveau=6683111&ww_c_langue=en
,Introduction to Law and ethics in LS&T,fr,SV-MA1# SV-MA3,167298#171336#174227,Pelet Robert-Nicoud Odile#Bondolfi Alberto#Sprumont Dominique,SV_B#SV_STV,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=48122881&ww_x_anneeacad=123455150&ww_i_section=945901&ww_i_niveau=6683147&ww_c_langue=en
,Introduction to materials science (Autumn semester),fr,GM-BA1#MX-BA1,106186,Rappaz Michel,GM#MX,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=72257890&ww_x_anneeacad=123455150&ww_i_section=944263&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=72257890&ww_x_anneeacad=123455150&ww_i_section=944917&ww_i_niveau=6683111&ww_c_langue=en
,Introduction to materials science (Spring semester),fr,EL-BA2#MT-BA2,106186,Rappaz Michel,EL#MT,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=72270661&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=72270661&ww_x_anneeacad=123455150&ww_i_section=945244&ww_i_niveau=6683111&ww_c_langue=en
,Introduction to mechanical design,fr,GM-BA1,100304#106177#132574,Benoit Mathieu#Ramseyer Claude#Kremer Daniel,GM,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=784635267&ww_x_anneeacad=123455150&ww_i_section=944263&ww_i_niveau=6683111&ww_c_langue=en
,Introduction to mechanical engineering,fr,GM-BA2,105264,Glardon Rémy,GM,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=784636115&ww_x_anneeacad=123455150&ww_i_section=944263&ww_i_niveau=6683111&ww_c_langue=en
,Introduction to metrology,fr,PH-BA1,106373#109056#136611,Schaller Robert#Mari Daniele#Tkalcec Iva,PH,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1774262&ww_x_anneeacad=123455150&ww_i_section=945571&ww_i_niveau=6683111&ww_c_langue=en
,Introduction to microscopy + Laboratory work,fr,AUDIT-H#MX-BA5,104267#105410#120862,Hessler-Wyser Aïcha#Hofmann Heinrich#Cantoni Marco,UNIL_SFU#MX,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=838977426&ww_x_anneeacad=123455150&ww_i_section=116995070&ww_i_niveau=2936286&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=838977426&ww_x_anneeacad=123455150&ww_i_section=944917&ww_i_niveau=6683117&ww_c_langue=en
,Introduction to multiprocessor architecture,en,IN-BA6#MA-MA2#SC-BA6,177958,Falsafi Babak,IN#MA_CO#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=231899109&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=231899109&ww_x_anneeacad=123455150&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=231899109&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683117&ww_c_langue=en
,Introduction to objects oriented programming,fr,IN-BA1#SC-BA1,105074#106336,Faltings Boi#Sam Jamila,IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47865556&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47865556&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683111&ww_c_langue=en
,Introduction to optical processing,fr,EL-BA6,106544,Thévenaz Luc,EL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1774357&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683117&ww_c_langue=en
,Introduction to particles accelerators,en,PH-MA3# PH-MA1#PH-MA1# PH-MA3,173996,Rivkin Leonid,ING_PHYS#PHYS#PH_NE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=24375105&ww_x_anneeacad=123455150&ww_i_section=945571&ww_i_niveau=6683147&ww_c_langue=en
,Introduction to planetary sciences,en,MINEUR-H,176803,Ivanov Anton,MIN_TEC_SPACE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=241135439&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936286&ww_c_langue=en
,Introduction to programming,fr,EL-BA1#GM-BA1,111472,Lecoultre Marc,EL#GM,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=784637359&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=784637359&ww_x_anneeacad=123455150&ww_i_section=944263&ww_i_niveau=6683111&ww_c_langue=en
,Introduction to separative methods,fr,AUDIT-H,150841,Roussel Christophe,UNIL_SFU,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=139592550&ww_x_anneeacad=123455150&ww_i_section=116995070&ww_i_niveau=2936286&ww_c_langue=en
,Introduction to signal processing,fr,EL-BA5,115534,Thiran Jean-Philippe,EL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1774352&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683117&ww_c_langue=en
,Introduction to space science,en,MINEUR-H,179064,Blush Lisa,MIN_TEC_SPACE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47243872&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936286&ww_c_langue=en
,Introduction to the algebraic number theory,fr,MA-BA6,138858,Bayer Fluckiger Eva,MA,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=4148121&ww_x_anneeacad=123455150&ww_i_section=944590&ww_i_niveau=6683117&ww_c_langue=en
,Introduction to the analytical number theory,fr,MA-BA6,178545,Michel Philippe,MA,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=129608503&ww_x_anneeacad=123455150&ww_i_section=944590&ww_i_niveau=6683117&ww_c_langue=en
,Introduction to the design of mechanical space hardware ,fr,MINEUR-H,184749,Mäusli Pierre-Alain,MIN_TEC_SPACE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=127005949&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936286&ww_c_langue=en
,Introduction to the finite elements method,en,MA-MA1# MA-MA3#MA-BA5,118377,Quarteroni Alfio,MA_CO#MA,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=354383074&ww_x_anneeacad=123455150&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=354383074&ww_x_anneeacad=123455150&ww_i_section=944590&ww_i_niveau=6683117&ww_c_langue=en
,Introduction to transmission systems,fr,EL-BA5,107296#194090,Gaumier Christian#Burg Andreas Peter,EL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1774372&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683117&ww_c_langue=en
,Introduction to turbomachinery,fr,GM-BA6#MINEUR-E,104417#106017,Avellan François#Ott Peter,GM#MIN_ENER,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1774387&ww_x_anneeacad=123455150&ww_i_section=944263&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1774387&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936295&ww_c_langue=en
,IT security engineering,en,IN-MA3# IN-MA1#MINEUR-H#SC-MA1# SC-MA3,193870,Janson Philippe,IN#MIN_IN_SEC#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=348806060&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=348806060&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936286&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=348806060&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en
,IT security engineering TP,en,IN-MA3# IN-MA1#MINEUR-H#SC-MA1# SC-MA3,193870,Janson Philippe,IN#MIN_IN_SEC#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=838996229&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=838996229&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936286&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=838996229&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en
,Knowledge from every angle,fr,SHS-BA1,185819,Preissmann Delphine,SHS,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=898384212&ww_x_anneeacad=123455150&ww_i_section=1751774&ww_i_niveau=6683111&ww_c_langue=en
,Lab immersion I,en,HPLANS-E#SV-MA1# SV-MA3,126096,Profs divers *,HPLANS#SV_B#SV_STV,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=355590267&ww_x_anneeacad=123455150&ww_i_section=3887376&ww_i_niveau=2936295&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=355590267&ww_x_anneeacad=123455150&ww_i_section=945901&ww_i_niveau=6683147&ww_c_langue=en
,Lab immersion II,en,HPLANS-E#SV-MA1# SV-MA3,126096,Profs divers *,HPLANS#SV_B#SV_STV,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=355590564&ww_x_anneeacad=123455150&ww_i_section=3887376&ww_i_niveau=2936295&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=355590564&ww_x_anneeacad=123455150&ww_i_section=945901&ww_i_niveau=6683147&ww_c_langue=en
,Lab immersion III,en,HPLANS-E#SV-MA1# SV-MA3,126096,Profs divers *,HPLANS#SV_B#SV_STV,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=355591210&ww_x_anneeacad=123455150&ww_i_section=3887376&ww_i_niveau=2936295&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=355591210&ww_x_anneeacad=123455150&ww_i_section=945901&ww_i_niveau=6683147&ww_c_langue=en
,Lab in Electrical Engineering I,fr,EL-MA1# EL-MA3,126096,Profs divers *,EL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=24327529&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en
,Lab in Electrical Engineering II,fr,EL-MA2#EL-MA1# EL-MA3,126096,Profs divers *,EL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=24327396&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en
,Laboratory GC,fr,GC-MA2#GC-MA1# GC-MA3,126096,Profs divers *,GC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=136703631&ww_x_anneeacad=123455150&ww_i_section=942623&ww_i_niveau=6683147&ww_c_langue=en
,Laboratory in behavorial & cognitive neuroscience,en,SV-MA1# SV-MA3,160090#164642,Sandi Carmen#Herzog Michael,SV_STV,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=355178469&ww_x_anneeacad=123455150&ww_i_section=945901&ww_i_niveau=6683147&ww_c_langue=en
,Laboratory information management systems (LIMS),en,CGC-MA2,174013,Rousseil Denis,CGC_CHIM,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=48083965&ww_x_anneeacad=123455150&ww_i_section=246696&ww_i_niveau=6683147&ww_c_langue=en
,Laboratory work legislation,fr,CGC-BA6,148581,Marendaz Jean-Luc,CGC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=72915450&ww_x_anneeacad=123455150&ww_i_section=246696&ww_i_niveau=6683117&ww_c_langue=en
,Land management and ground law ,fr,MINEUR-H#SIE-MA1# SIE-MA3,103190#130072,Prélaz-Droux Roland#Wermelinger Amédéo,MIN_DEV_TER#SIE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773907&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936286&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773907&ww_x_anneeacad=123455150&ww_i_section=942953&ww_i_niveau=6683147&ww_c_langue=en
,Langue et culture : Arabe,fr,SHS-MA2,196358#207131,Graezer Bideau Florence#Abbes Makram,SHS,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=903694350&ww_x_anneeacad=123455150&ww_i_section=1751774&ww_i_niveau=6683147&ww_c_langue=en
,Langue et culture : Hindi,fr,SHS-MA2,196358#224287,Graezer Bideau Florence#Pozza Nicola,SHS,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=245363878&ww_x_anneeacad=123455150&ww_i_section=1751774&ww_i_niveau=6683147&ww_c_langue=en
,Langue et culture : Mandarin,fr,SHS-MA2,196358#225319,Graezer Bideau Florence#Aubert Sabrina Yan,SHS,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=245363666&ww_x_anneeacad=123455150&ww_i_section=1751774&ww_i_niveau=6683147&ww_c_langue=en
,Laser micro-machining training course ,fr,MT-MA2#MX-MA2,113150,Hoffmann Patrik,MT#MX,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1774967&ww_x_anneeacad=123455150&ww_i_section=945244&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1774967&ww_x_anneeacad=123455150&ww_i_section=944917&ww_i_niveau=6683147&ww_c_langue=en
,Lasers and applications in chemistry,en,CGC-MA2,104570,Boyarkine Oleg,CGC_CHIM,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=24378268&ww_x_anneeacad=123455150&ww_i_section=246696&ww_i_niveau=6683147&ww_c_langue=en
,Law and technology I,fr,SHS-MA1,171337#196400#218733#218739,Favre Anne-Christine#Neuenschwander Anouk#Bonzon Anne-Juliette#Jungo Fabia,SHS,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=249735302&ww_x_anneeacad=123455150&ww_i_section=1751774&ww_i_niveau=6683147&ww_c_langue=en
,Law and technology II,fr,SHS-MA2,171337#196400#218733#218739,Favre Anne-Christine#Neuenschwander Anouk#Bonzon Anne-Juliette#Jungo Fabia,SHS,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=249735336&ww_x_anneeacad=123455150&ww_i_section=1751774&ww_i_niveau=6683147&ww_c_langue=en
,"Law of technological research, limits and liability",fr,SHS-BA5,218335,Joye Charles,SHS,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=249359872&ww_x_anneeacad=123455150&ww_i_section=1751774&ww_i_niveau=6683117&ww_c_langue=en
,Leadership & human resource management in a global context,en,MINEUR-E#MTE-MA2,167287,Boldt Barbara,MIN_MTE#MTE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=353945298&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936295&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=353945298&ww_x_anneeacad=123455150&ww_i_section=946882&ww_i_niveau=6683147&ww_c_langue=en
,Lessons learned from the Space Exploration ,en,MINEUR-E,173661,Toussaint Marc JM R,MIN_TEC_SPACE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71621199&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936295&ww_c_langue=en
,Life cycle analysis and ecobilan,fr,MINEUR-H#MX-MA1# MX-MA3#SIE-BA5,129626,Payet Jérôme,MIN_ENER#MX#SIE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=23985644&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936286&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=23985644&ww_x_anneeacad=123455150&ww_i_section=944917&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=23985644&ww_x_anneeacad=123455150&ww_i_section=942953&ww_i_niveau=6683117&ww_c_langue=en
,Lifecycle economic and environmental performance of product systems,en,GM-MA2,105551,Kiritsis Dimitris,GM,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=824167805&ww_x_anneeacad=123455150&ww_i_section=944263&ww_i_niveau=6683147&ww_c_langue=en
,Life cycle engineering of polymers,en,MX-MA1# MX-MA3,105657,Leterrier Yves,MX,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=840801900&ww_x_anneeacad=123455150&ww_i_section=944917&ww_i_niveau=6683147&ww_c_langue=en
,Life sciences (for MX),en,MX-BA1#MX-BA3,156848,Klok Harm-Anton,MX,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=52150910&ww_x_anneeacad=123455150&ww_i_section=944917&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=52150910&ww_x_anneeacad=123455150&ww_i_section=944917&ww_i_niveau=6683117&ww_c_langue=en
,Linear algebra,en,MT-BA1,183120,Pach János,MT,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=4148417&ww_x_anneeacad=123455150&ww_i_section=945244&ww_i_niveau=6683111&ww_c_langue=en
,Linear Algebra,fr,IN-BA1#SC-BA1#GC-BA1#MX-BA1#EL-BA1#SIE-BA1,104781#133751#152136,Cibils Michel#Testerman Donna#Lequeu Emmanuel,IN#SC#GC#MX#EL#SIE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1772095&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1772095&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1772095&ww_x_anneeacad=123455150&ww_i_section=942623&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1772095&ww_x_anneeacad=123455150&ww_i_section=944917&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1772095&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1772095&ww_x_anneeacad=123455150&ww_i_section=942953&ww_i_niveau=6683111&ww_c_langue=en
,Linear algebra I,fr,MA-BA1#PH-BA1#SV-BA1,123676#181579,Thévenaz Jacques#Monod Nicolas,MA#PH#SV,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1179240&ww_x_anneeacad=123455150&ww_i_section=944590&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1179240&ww_x_anneeacad=123455150&ww_i_section=945571&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1179240&ww_x_anneeacad=123455150&ww_i_section=945901&ww_i_niveau=6683111&ww_c_langue=en
,Linear algebra II,fr,MA-BA2#PH-BA2#SV-BA2,123676#181579,Thévenaz Jacques#Monod Nicolas,MA#PH#SV,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1186202&ww_x_anneeacad=123455150&ww_i_section=944590&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1186202&ww_x_anneeacad=123455150&ww_i_section=945571&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1186202&ww_x_anneeacad=123455150&ww_i_section=945901&ww_i_niveau=6683111&ww_c_langue=en
,Living in Mars,fr,ENAC-BA6,104348#112728#113159#167583,Zurbrügg Peter#Erkman Suren#Nussbaumer Alain#Besson Théodore,ENAC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1358516117&ww_x_anneeacad=123455150&ww_i_section=69034007&ww_i_niveau=6683117&ww_c_langue=en
,Logic systems,fr,EL-BA2#MT-BA3,158881,Kluter Ties Jan Henderikus,EL#MT,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1776592&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1776592&ww_x_anneeacad=123455150&ww_i_section=945244&ww_i_niveau=6683117&ww_c_langue=en
,Logic systems I,fr,IN-BA1#SC-BA1,106339,Sanchez Eduardo,IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=80956661&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=80956661&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683111&ww_c_langue=en
,Logic systems II,fr,IN-BA2#SC-BA2,106339,Sanchez Eduardo,IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=80956652&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=80956652&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683111&ww_c_langue=en
,Logistics and demand analysis ,fr,MINEUR-E#MTE-MA2,106738,Wieser Philippe,MIN_MTE#MTE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=353831841&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936295&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=353831841&ww_x_anneeacad=123455150&ww_i_section=946882&ww_i_niveau=6683147&ww_c_langue=en
,Machine elements,fr,GM-BA2,100304#106177#132574,Benoit Mathieu#Ramseyer Claude#Kremer Daniel,GM,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=784635773&ww_x_anneeacad=123455150&ww_i_section=944263&ww_i_niveau=6683111&ww_c_langue=en
,Major contemporary economic issues ,fr,SHS-BA2,190153,Bendahan Samuel,SHS,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1308833250&ww_x_anneeacad=123455150&ww_i_section=1751774&ww_i_niveau=6683111&ww_c_langue=en
,Management of industrial production,en,CGC-MA1# CGC-MA3#MINEUR-H,112957,Ramambason Olivier,CGC_ING#MIN_BIOTECH,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=230672285&ww_x_anneeacad=123455150&ww_i_section=246696&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=230672285&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936286&ww_c_langue=en
,Management of territories affected by natural hazards in mountain areas,fr,ENAC-BA4,114728#117356#149002,Labiouse Vincent#Ruzicka-Rossier Monique#Joost Stéphane,ENAC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=195442527&ww_x_anneeacad=123455150&ww_i_section=69034007&ww_i_niveau=6683117&ww_c_langue=en
,Managing organisations : leadership and management,fr,SHS-BA3#SHS-BA4,190153,Bendahan Samuel,SHS,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=235232086&ww_x_anneeacad=123455150&ww_i_section=1751774&ww_i_niveau=6683117&ww_c_langue=en
